Sexo;Comunidad autónoma;Total
Ambos sexos;Total;10,16
Ambos sexos;Andalucía;10,44
Ambos sexos;Aragón;7,47
Ambos sexos;Asturias (Principado de);6,75
Ambos sexos;Balears (Illes);13,63
Ambos sexos;Canarias;14,49
Ambos sexos;Cantabria;7,07
Ambos sexos;Castilla y León;6,97
Ambos sexos;Castilla-La Mancha;6,77
Ambos sexos;Cataluña;11,65
Ambos sexos;Comunidad Valenciana;9,85
Ambos sexos;Extremadura;10,34
Ambos sexos;Galicia;12,47
Ambos sexos;Madrid (Comunidad de);10,93
Ambos sexos;Murcia (Región de);10,32
Ambos sexos;Navarra (Comunidad Foral de);5,93
Ambos sexos;País Vasco;6,19
Ambos sexos;Rioja (La);3,97
Ambos sexos;Ceuta y Melilla;7,02
Varones;Total;12,57
Varones;Andalucía;12,5
Varones;Aragón;9,88
Varones;Asturias (Principado de);7,28
Varones;Balears (Illes);13,4
Varones;Canarias;17,24
Varones;Cantabria;9,32
Varones;Castilla y León;8,67
Varones;Castilla-La Mancha;6,91
Varones;Cataluña;15,57
Varones;Comunidad Valenciana;12,12
Varones;Extremadura;11,76
Varones;Galicia;16,44
Varones;Madrid (Comunidad de);13,95
Varones;Murcia (Región de);12,08
Varones;Navarra (Comunidad Foral de);6,95
Varones;País Vasco;8,14
Varones;Rioja (La);3,59
Varones;Ceuta y Melilla;8,56
Mujeres;Total;7,63
Mujeres;Andalucía;8,38
Mujeres;Aragón;4,95
Mujeres;Asturias (Principado de);6,15
Mujeres;Balears (Illes);13,87
Mujeres;Canarias;11,63
Mujeres;Cantabria;4,89
Mujeres;Castilla y León;5,09
Mujeres;Castilla-La Mancha;6,6
Mujeres;Cataluña;7,48
Mujeres;Comunidad Valenciana;7,36
Mujeres;Extremadura;8,77
Mujeres;Galicia;8,33
Mujeres;Madrid (Comunidad de);7,88
Mujeres;Murcia (Región de);8,28
Mujeres;Navarra (Comunidad Foral de);4,84
Mujeres;País Vasco;4,19
Mujeres;Rioja (La);4,41
Mujeres;Ceuta y Melilla;5,34
