Sexo;Comunidad autónoma;Total
Ambos sexos;Total;29,79
Ambos sexos;Andalucía;28,93
Ambos sexos;Aragón;30,64
Ambos sexos;Asturias (Principado de);32,24
Ambos sexos;Balears (Illes);23,71
Ambos sexos;Canarias;29,46
Ambos sexos;Cantabria;33,63
Ambos sexos;Castilla y León;28,69
Ambos sexos;Castilla-La Mancha;30,69
Ambos sexos;Cataluña;31,12
Ambos sexos;Comunidad Valenciana;27,97
Ambos sexos;Extremadura;31,91
Ambos sexos;Galicia;34,24
Ambos sexos;Madrid (Comunidad de);29,09
Ambos sexos;Murcia (Región de);27,03
Ambos sexos;Navarra (Comunidad Foral de);33,18
Ambos sexos;País Vasco;30,01
Ambos sexos;Rioja (La);31,13
Ambos sexos;Ceuta y Melilla;30,62
Varones;Total;28,18
Varones;Andalucía;27,86
Varones;Aragón;28,66
Varones;Asturias (Principado de);31,44
Varones;Balears (Illes);17,47
Varones;Canarias;27,43
Varones;Cantabria;33,71
Varones;Castilla y León;28,66
Varones;Castilla-La Mancha;32,09
Varones;Cataluña;27,38
Varones;Comunidad Valenciana;26,36
Varones;Extremadura;31,43
Varones;Galicia;29,89
Varones;Madrid (Comunidad de);29,49
Varones;Murcia (Región de);25,91
Varones;Navarra (Comunidad Foral de);32,98
Varones;País Vasco;26,99
Varones;Rioja (La);34,48
Varones;Ceuta y Melilla;31,73
Mujeres;Total;31,48
Mujeres;Andalucía;30
Mujeres;Aragón;32,71
Mujeres;Asturias (Principado de);33,14
Mujeres;Balears (Illes);30,32
Mujeres;Canarias;31,58
Mujeres;Cantabria;33,56
Mujeres;Castilla y León;28,73
Mujeres;Castilla-La Mancha;29,04
Mujeres;Cataluña;35,1
Mujeres;Comunidad Valenciana;29,75
Mujeres;Extremadura;32,45
Mujeres;Galicia;38,77
Mujeres;Madrid (Comunidad de);28,69
Mujeres;Murcia (Región de);28,34
Mujeres;Navarra (Comunidad Foral de);33,4
Mujeres;País Vasco;33,11
Mujeres;Rioja (La);27,25
Mujeres;Ceuta y Melilla;29,41
