Sexo;Comunidad autónoma;Total
Ambos sexos;Total;19,36
Ambos sexos;Andalucía;16,09
Ambos sexos;Aragón;19,24
Ambos sexos;Asturias (Principado de);19,54
Ambos sexos;Balears (Illes);15,85
Ambos sexos;Canarias;23,16
Ambos sexos;Cantabria;21,58
Ambos sexos;Castilla y León;21,32
Ambos sexos;Castilla-La Mancha;14,15
Ambos sexos;Cataluña;21,55
Ambos sexos;Comunidad Valenciana;19,38
Ambos sexos;Extremadura;14,92
Ambos sexos;Galicia;18,87
Ambos sexos;Madrid (Comunidad de);21,25
Ambos sexos;Murcia (Región de);18,26
Ambos sexos;Navarra (Comunidad Foral de);20,98
Ambos sexos;País Vasco;21,23
Ambos sexos;Rioja (La);21,32
Ambos sexos;Ceuta y Melilla;15,35
Varones;Total;22,31
Varones;Andalucía;19,77
Varones;Aragón;21,23
Varones;Asturias (Principado de);24,77
Varones;Balears (Illes);15,96
Varones;Canarias;26,55
Varones;Cantabria;26,35
Varones;Castilla y León;26,03
Varones;Castilla-La Mancha;19,03
Varones;Cataluña;22,29
Varones;Comunidad Valenciana;20,43
Varones;Extremadura;18,18
Varones;Galicia;21,48
Varones;Madrid (Comunidad de);25,53
Varones;Murcia (Región de);24,05
Varones;Navarra (Comunidad Foral de);28,23
Varones;País Vasco;22,54
Varones;Rioja (La);28,35
Varones;Ceuta y Melilla;17,48
Mujeres;Total;16,33
Mujeres;Andalucía;12,43
Mujeres;Aragón;17,15
Mujeres;Asturias (Principado de);14,04
Mujeres;Balears (Illes);15,74
Mujeres;Canarias;19,53
Mujeres;Cantabria;16,5
Mujeres;Castilla y León;16,53
Mujeres;Castilla-La Mancha;8,68
Mujeres;Cataluña;20,8
Mujeres;Comunidad Valenciana;18,27
Mujeres;Extremadura;11,55
Mujeres;Galicia;16,19
Mujeres;Madrid (Comunidad de);17,09
Mujeres;Murcia (Región de);11,85
Mujeres;Navarra (Comunidad Foral de);13,19
Mujeres;País Vasco;19,95
Mujeres;Rioja (La);13,5
Mujeres;Ceuta y Melilla;12,93
